composition,is metal?
Ag(AuS)2,TRUE
Ag(W3Br7)2,TRUE
Ag0.5Ge1Pb1.75S4,FALSE
Ag0.5Ge1Pb1.75Se4,FALSE
Ag2BBr,TRUE
Ag2BiO3,TRUE
Ag2GeS3,FALSE
Ag2GeSe3,FALSE
Ag2GeTe3,FALSE
Ag2HgI4,FALSE
Ag2Mo(I2O7)2,FALSE
Ag2O,FALSE
Ag2P2PbO7,TRUE
Ag2PdO2,FALSE
Ag2S,FALSE
Ag2SnS3,FALSE
Ag2SnSe3,FALSE
Ag3AsO4,TRUE
Ag3AsS3,FALSE
Ag3AsSe3,FALSE
Ag3Pd,TRUE
Ag3RuO4,TRUE
Ag3SbS3,FALSE
Ag5IO6,FALSE
Ag7(SI)2,TRUE
Ag7AsS6,FALSE
Ag7AsSe6,FALSE
Ag7NO11,TRUE
Ag8GeS6,FALSE
Ag8SnSe6,FALSE
Ag9(PbO3)4,TRUE
Ag9Ge2IO8,TRUE
AgAsS2,FALSE
AgAsSe2,FALSE
AgAu3,TRUE
AgBi(PS3)2,FALSE
AgBi(PSe3)2,FALSE
AgBiPbS3,FALSE
AgBiPbSe3,FALSE
AgBiS2,FALSE
AgBiSe2,FALSE
AgBr,FALSE
AgCNO,TRUE
AgCl,FALSE
AgF,FALSE
AgGeO3,TRUE
AgI,FALSE
AgN3,FALSE
AgO,FALSE
AgP15,FALSE
AgPd(IO3)3,FALSE
AgPdO2,TRUE
AgPt3,TRUE
AgS,FALSE
AgSO4,FALSE
AgSbS2,FALSE
AgSbSe2,FALSE
AgSbTe2,FALSE
AgTe,FALSE
AgTe2As,FALSE
Al(Ni10B7)2,TRUE
Al(NiS2)2,TRUE
Al0.01Cd0.99Sb0.01Te0.99,FALSE
Al0.01Ga0.99P1,FALSE
Al0.01In0.99P1,FALSE
Al0.05Cd0.95Sb0.05Te0.95,FALSE
Al0.15Ga0.85As1,FALSE
Al0.1Cd0.9Sb0.1Te0.9,FALSE
Al0.1In0.9P1,FALSE
Al0.2Ga0.8P1,FALSE
Al0.2In0.8P1,FALSE
Al0.35Ga0.65As1,FALSE
Al0.3Ga0.7As1,FALSE
Al0.3In0.7P1,FALSE
Al0.45Cd0.55Sb0.45Te0.55,FALSE
Al0.4Cd0.6Sb0.4Te0.6,FALSE
Al0.4Ga0.6P1,FALSE
Al0.4In0.6P1,FALSE
Al0.5Ga0.5As1,FALSE
Al0.5In0.5P1,FALSE
Al0.6Ga0.4As1,FALSE
Al0.6Ga0.4P1,FALSE
Al0.6In0.4P1,FALSE
Al0.75Ga0.25As1,FALSE
Al0.7In0.3P1,FALSE
Al0.8Ga0.2P1,FALSE
Al0.99Cd0.01Sb0.99Te0.01,FALSE
Al0.99Ga0.01P1,FALSE
Al0.99In0.01P1,FALSE
Al10V,TRUE
Al13Ru4,TRUE
Al2(CuSe2)3,TRUE
Al21Pt8,TRUE
Al2CoIr,TRUE
Al2Cr2O7,TRUE
Al2CrS4,TRUE
Al2Cu,TRUE
Al2FeNi,TRUE
Al2Ru,TRUE
Al2S3,FALSE
Al2Se3,FALSE
Al2Te3,FALSE
Al3Tc,TRUE
Al4Cu2O7,TRUE
Al4Cu9,TRUE
Al5Rh2,TRUE
Al6Fe,TRUE
Al6Ru,TRUE
Al6Tc,TRUE
Al7(CN)3,TRUE
Al9Co2,TRUE
Al9Ir2,TRUE
Al9Rh2,TRUE
AlAgO2,FALSE
AlAgS2,FALSE
AlAgSe2,FALSE
AlAgTe2,FALSE
AlAs,TRUE
AlB12,FALSE
AlB2,TRUE
AlBi,FALSE
AlCoO3,TRUE
AlCu3,TRUE
AlCu7O12,TRUE
AlCuS2,FALSE
AlCuSe2,FALSE
AlCuTe2,FALSE
AlFe2Si,TRUE
AlFe4(CuO4)3,TRUE
AlIr,TRUE
AlN,FALSE
AlNi2,TRUE
AlP,FALSE
AlPd5I2,TRUE
AlSb,FALSE
AlSn,TRUE
AlV(TeO4)2,FALSE
AlVCo2,TRUE
As2Ir,FALSE
As2O3,FALSE
As2Os,FALSE
As2Pt,FALSE
As2Rh,FALSE
As2Ru,FALSE
As2S3,FALSE
As2S5,FALSE
As2Se3,FALSE
AsAu3,TRUE
AsBr3,FALSE
AsI3,FALSE
AsOsS,FALSE
AsP,FALSE
AsPPd,FALSE
AsPPt,FALSE
AsPRu,FALSE
AsPd3Pb2,TRUE
AsRuS,FALSE
AsS,FALSE
AsS3,FALSE
AsSI,FALSE
AsSeBr,TRUE
AsSeI,FALSE
Au3S,TRUE
AuBrO2,TRUE
B2Mo(PbO2)6,FALSE
B2O3,FALSE
B2Se2O7,FALSE
B3H2Pb2O7.5,FALSE
B3Pb10Br3O13,FALSE
B3Pb3NO10,FALSE
B4C,FALSE
B4H2Pb6O13,FALSE
B4W,TRUE
B5Mo2,TRUE
B6As,FALSE
B6P,FALSE
BAs,FALSE
BH(PbO2)2,FALSE
BMo,TRUE
BP,FALSE
BPb2ClO3,FALSE
BPb6BrO7,FALSE
BPb7Br3O7,FALSE
BRh2,TRUE
BSb,FALSE
BSbPbS4,FALSE
BSe2Cl,TRUE
BTe2As,TRUE
Ba(AsPd)2,TRUE
Ba(AsRh)2,TRUE
Ba(BO2)2,FALSE
Ba(BRh)2,TRUE
Ba(FeS2)2,TRUE
Ba(GaS2)2,FALSE
Ba(GaSe2)2,FALSE
Ba(InS2)2,FALSE
Ba(InSe2)2,FALSE
Ba(NiP2)2,TRUE
Ba(PdO2)2,TRUE
Ba(SnO2)4,TRUE
Ba(ZnAs)2,FALSE
Ba1.88Ta15O32,FALSE
Ba12In4S19,FALSE
Ba14Ir8(PdO11)3,TRUE
Ba14Na8CaN6,TRUE
Ba23Ga8(SbS19)2,FALSE
Ba2B4H2O9,FALSE
Ba2B6H4O13,FALSE
Ba2B6O11,FALSE
Ba2BiSbO6,TRUE
Ba2CaOsO6,TRUE
Ba2CaReO6,TRUE
Ba2Cd(BO2)6,FALSE
Ba2Ce2O5,TRUE
Ba2CeInTe5,FALSE
Ba2CoWO6,TRUE
Ba2Cu5F14,TRUE
Ba2CuWO6,TRUE
Ba2DyCu3O7,TRUE
Ba2DyGaSe5,FALSE
Ba2DyGaTe5,FALSE
Ba2DyInSe5,FALSE
Ba2DyInTe5,FALSE
Ba2ErGaSe5,FALSE
Ba2ErGaTe5,FALSE
Ba2ErInSe5,FALSE
Ba2ErInTe5,FALSE
Ba2FeMoO6,TRUE
Ba2FeReO6,TRUE
Ba2Ga8GeS16,FALSE
Ba2Ga8SiS16,FALSE
Ba2GaAsSe5,FALSE
Ba2GaBiS5,FALSE
Ba2GaBiSe5,FALSE
Ba2GaBiTe5,FALSE
Ba2GaS4,FALSE
Ba2GaSbSe5,FALSE
Ba2GaSbTe5,FALSE
Ba2GaSe4,FALSE
Ba2GdGaSe5,FALSE
Ba2GdGaTe5,FALSE
Ba2GdInSe5,FALSE
Ba2GdInTe5,FALSE
Ba2HgS5,FALSE
Ba2In2S5,FALSE
Ba2In2Se5,FALSE
Ba2InAgS4,FALSE
Ba2InBiS5,FALSE
Ba2InSbSe5,FALSE
Ba2LaIrO6,TRUE
Ba2LiFe2N3,TRUE
Ba2NaCu3S5,FALSE
Ba2NdGaS5,FALSE
Ba2NdGaSe5,FALSE
Ba2NdInSe5,FALSE
Ba2NdInTe5,FALSE
Ba2ReNiO6,TRUE
Ba2Sb7HO14,FALSE
Ba2ScIrO6,TRUE
Ba2ScTaO6,FALSE
Ba2SmCu3O7,TRUE
Ba2SmGaSe5,FALSE
Ba2SmGaTe5,FALSE
Ba2SmInSe5,FALSE
Ba2SmInTe5,FALSE
Ba2SmTaO6,FALSE
Ba2SnSe4,FALSE
Ba2SnSe5,FALSE
Ba2TaInO6,FALSE
Ba2TbIrO6,TRUE
Ba2ThCu2Se5,FALSE
Ba2UCuO6,TRUE
Ba2V2Te2O11,FALSE
Ba2V2ZnO8,FALSE
Ba2V4(TeO6)3,FALSE
Ba2YGaSe5,FALSE
Ba2YGaTe5,FALSE
Ba2YInSe5,FALSE
Ba2YInTe5,FALSE
Ba2YReO6,TRUE
Ba2Yb(CuO2)4,TRUE
Ba2Zn0.2B2S5.2,FALSE
Ba2ZnSe3,FALSE
Ba2ZnTe3,FALSE
Ba3(AlGe)2,TRUE
Ba3(LiSn2)4,TRUE
Ba3Ag2(SnS4)2,FALSE
Ba3B1.5Sb0.5S6,FALSE
Ba3BSbS6,FALSE
Ba3BSbSe6,FALSE
Ba3Bi0.5B1.5S6,FALSE
Ba3Bi2TeO9,FALSE
Ba3CaIr2O9,TRUE
Ba3CaRu2O9,TRUE
Ba3Cd(SnS4)2,FALSE
Ba3Co10O17,TRUE
Ba3CrS5,TRUE
